Age,Job,Marital,Education,Default,Annual Balance,Loan (Housing loan / Personal loan),Last Contact Duration,# Contacts Currently,# Contacts Previously,Days Since Last Contacted,Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
35,student,single,secondary,no,188,H-,863,1,8,78,success,yes
52,admin.,married,primary,no,576,H-,139,1,1,286,failure,no
43,blue-collar,married,secondary,no,130,--,156,1,3,337,failure,no
35,management,single,tertiary,no,1,H-,80,1,1,285,failure,no
35,blue-collar,married,primary,no,147,H-,358,1,3,337,failure,no
30,management,single,tertiary,no,0,H-,381,1,7,342,failure,no
26,management,married,tertiary,no,784,HP,247,2,2,358,failure,no
25,admin.,single,tertiary,no,1141,H-,718,1,1,347,failure,no
35,management,married,secondary,no,2311,H-,659,1,1,167,failure,no
30,admin.,married,secondary,no,182,HP,143,1,1,364,failure,no
37,blue-collar,married,primary,no,0,H-,108,1,2,349,failure,no
41,entrepreneur,married,tertiary,no,121,H-,456,1,1,287,failure,no
38,technician,married,secondary,no,54,HP,236,1,2,287,failure,no
33,self-employed,married,tertiary,no,210,H-,84,1,1,167,failure,no
31,services,single,secondary,no,187,H-,241,1,1,347,failure,no
38,blue-collar,single,secondary,no,2032,H-,87,4,2,349,failure,no
57,retired,married,secondary,no,0,H-,127,1,4,363,failure,no
40,technician,single,tertiary,no,47,H-,159,1,1,365,failure,no
28,services,married,secondary,no,0,H-,335,2,8,281,failure,no
27,technician,single,tertiary,no,75,HP,308,1,1,351,failure,no
39,housemaid,married,secondary,no,1372,HP,206,1,1,355,failure,no
31,blue-collar,single,secondary,no,196,H-,568,1,7,341,failure,yes
42,management,married,tertiary,no,3718,H-,42,1,2,272,failure,no
33,management,single,tertiary,no,12686,H-,470,2,2,166,failure,no
47,technician,married,secondary,no,232,H-,166,2,1,285,failure,no
33,services,married,secondary,no,255,HP,237,4,4,165,failure,no
40,services,married,secondary,no,0,H-,184,1,2,334,failure,no
32,admin.,single,secondary,no,98,H-,360,1,2,365,failure,no
41,blue-collar,married,secondary,no,992,HP,335,1,3,295,failure,no
32,technician,divorced,tertiary,no,75,--,104,3,9,256,failure,no
44,unemployed,married,secondary,no,0,--,398,2,4,165,failure,no
37,admin.,single,secondary,no,686,H-,253,3,2,280,failure,no
37,technician,married,tertiary,no,3043,H-,249,1,1,300,failure,no
33,blue-collar,married,primary,no,415,H-,316,1,4,337,success,no
35,services,single,secondary,no,1239,H-,60,2,1,347,failure,no
53,admin.,divorced,secondary,no,0,H-,246,1,1,344,failure,no
43,blue-collar,married,secondary,no,-755,HP,162,1,1,337,failure,no
54,entrepreneur,married,secondary,no,0,H-,387,2,1,287,failure,no
47,technician,married,secondary,no,57,--,253,1,1,342,success,no
35,entrepreneur,married,tertiary,no,0,--,74,1,4,168,failure,no
35,management,married,tertiary,no,76,--,283,1,9,362,failure,no
51,technician,single,secondary,no,-463,H-,496,1,3,343,failure,no
47,admin.,married,secondary,no,769,H-,183,1,2,265,failure,no
43,technician,divorced,secondary,no,0,H-,150,2,2,342,failure,no
35,services,married,secondary,no,27,HP,442,2,3,278,failure,no
55,services,married,secondary,no,-626,HP,369,2,5,278,failure,no
45,admin.,married,secondary,no,251,H-,304,2,2,259,failure,no
32,management,married,tertiary,no,4761,H-,159,2,2,350,failure,no
30,management,married,tertiary,no,6432,H-,334,6,5,165,failure,no
44,management,divorced,tertiary,no,0,HP,297,2,1,167,failure,no
30,services,married,tertiary,no,6,H-,279,2,2,342,failure,no
37,admin.,married,secondary,no,176,H-,147,2,1,347,failure,no
51,management,married,unknown,no,914,H-,176,2,3,341,failure,no
30,technician,single,secondary,no,-522,HP,670,2,6,286,failure,yes
36,technician,single,secondary,no,103,H-,122,2,2,344,failure,no
39,blue-collar,single,secondary,no,519,HP,180,3,15,166,failure,no
52,technician,married,secondary,no,221,H-,178,2,3,363,failure,no
51,blue-collar,married,primary,no,565,HP,157,7,3,250,failure,no
37,management,married,tertiary,no,8564,H-,211,2,1,347,failure,no
42,blue-collar,married,secondary,no,2152,H-,319,2,1,169,failure,no
43,technician,divorced,secondary,no,305,H-,674,2,4,250,failure,no
27,admin.,married,secondary,no,3160,H-,209,5,1,343,failure,no
53,services,married,primary,no,2618,H-,185,2,2,165,failure,no
45,management,married,tertiary,no,0,H-,469,2,1,342,failure,no
43,management,married,tertiary,no,176,H-,253,2,1,286,failure,no
31,technician,single,secondary,no,4888,H-,475,4,2,166,failure,no
41,blue-collar,married,secondary,no,440,H-,523,1,2,334,failure,no
42,services,married,secondary,no,96,H-,238,3,2,340,failure,no
36,technician,single,secondary,no,7503,H-,193,1,1,335,failure,no
44,blue-collar,married,primary,no,0,H-,408,2,1,350,failure,no
37,management,divorced,tertiary,no,0,H-,74,8,11,351,failure,no
56,management,married,tertiary,no,505,HP,221,1,3,169,failure,no
35,blue-collar,married,secondary,no,225,H-,160,7,2,343,failure,no
41,blue-collar,married,primary,no,-7,H-,104,2,2,365,failure,no
37,technician,single,secondary,no,5436,H-,7,11,1,351,failure,no
49,blue-collar,married,secondary,no,8545,HP,199,7,1,167,failure,no
46,management,married,tertiary,no,523,H-,105,4,2,366,failure,no
37,management,married,tertiary,no,0,H-,149,1,12,13,success,no
49,blue-collar,married,secondary,no,2039,H-,451,1,2,169,failure,yes
52,services,divorced,secondary,no,12,H-,78,1,1,170,failure,no
60,blue-collar,married,primary,no,6271,H-,210,2,5,254,failure,no
40,admin.,divorced,secondary,no,83,H-,327,1,6,280,failure,no
49,management,married,tertiary,no,489,H-,65,1,1,358,failure,no
53,self-employed,married,secondary,no,-488,H-,207,1,1,342,failure,no
27,admin.,married,secondary,no,710,HP,653,1,2,334,success,yes
40,services,married,secondary,no,1438,H-,207,1,2,351,failure,no
36,services,married,secondary,no,0,H-,215,3,3,280,failure,no
30,self-employed,married,tertiary,yes,-1083,H-,401,1,2,336,failure,no
58,management,married,tertiary,no,0,HP,293,1,2,351,failure,no
53,entrepreneur,divorced,tertiary,no,81,H-,178,5,3,352,failure,no
35,services,married,secondary,no,0,H-,343,3,1,351,failure,no
57,retired,married,primary,no,0,H-,62,2,2,273,failure,no
56,management,married,tertiary,no,563,H-,100,2,1,168,failure,no
32,blue-collar,single,secondary,no,1143,HP,132,1,1,300,failure,no
36,admin.,married,secondary,no,788,H-,403,1,1,345,failure,no
37,technician,divorced,secondary,no,141,H-,848,1,3,364,failure,yes
35,management,married,tertiary,no,105,H-,36,1,3,365,failure,no
43,blue-collar,married,secondary,no,388,HP,644,1,2,355,failure,no
40,management,married,tertiary,no,-606,H-,90,1,1,345,failure,no
34,blue-collar,married,secondary,no,-349,H-,208,1,1,365,failure,no
30,admin.,married,secondary,no,-150,H-,174,1,1,365,failure,no
40,management,divorced,tertiary,no,69,H-,503,2,2,280,failure,no
33,admin.,married,tertiary,no,281,H-,257,1,1,365,failure,no
27,entrepreneur,married,unknown,no,345,HP,465,1,4,289,failure,no
24,blue-collar,single,secondary,no,27,H-,404,1,2,338,failure,no
32,blue-collar,single,secondary,no,53,H-,153,1,2,169,failure,no
28,services,single,secondary,no,123,H-,115,1,3,359,failure,no
24,admin.,married,secondary,no,299,H-,209,1,1,321,failure,no
35,services,married,secondary,no,302,H-,137,1,1,364,failure,no
53,blue-collar,married,secondary,no,380,HP,42,1,1,302,failure,no
49,blue-collar,divorced,primary,no,0,H-,305,1,2,281,failure,no
26,admin.,single,secondary,no,96,--,606,1,1,345,failure,no
30,management,divorced,tertiary,no,415,HP,984,1,4,343,failure,yes
29,admin.,married,secondary,no,2,H-,339,1,1,362,failure,no
40,self-employed,married,secondary,no,311,H-,205,1,2,351,failure,no
30,entrepreneur,married,secondary,no,392,H-,124,1,3,167,failure,no
44,entrepreneur,married,secondary,no,860,HP,96,2,5,295,failure,no
32,technician,single,secondary,no,6402,H-,158,1,1,167,success,no
39,services,married,primary,no,0,--,49,2,3,282,failure,no
33,admin.,divorced,secondary,yes,-18,H-,244,1,3,359,failure,no
53,entrepreneur,married,tertiary,no,54,HP,123,1,1,169,failure,no
34,admin.,married,secondary,no,4902,H-,59,1,1,167,failure,no
37,technician,married,secondary,no,83,H-,68,1,1,363,failure,no
28,blue-collar,married,primary,no,60,H-,161,1,1,337,failure,no
23,services,married,secondary,no,83,H-,199,1,1,358,failure,no
38,management,single,tertiary,no,171,HP,60,1,3,272,failure,no
47,entrepreneur,married,unknown,no,1481,H-,64,2,3,364,failure,no
55,blue-collar,married,primary,no,1086,H-,146,1,2,272,failure,no
33,admin.,married,secondary,no,2468,HP,84,1,4,282,failure,no
37,self-employed,married,primary,no,90,H-,39,1,2,363,failure,no
31,services,divorced,secondary,no,1016,H-,20,1,1,342,failure,no
51,self-employed,married,primary,no,106,H-,217,1,5,169,failure,no
34,entrepreneur,married,tertiary,no,0,H-,611,1,1,183,failure,yes
29,blue-collar,married,secondary,no,751,H-,211,1,5,288,success,no
42,management,married,primary,no,-679,HP,159,1,2,343,failure,no
31,technician,single,secondary,no,13,--,318,1,1,166,failure,no
29,unemployed,single,tertiary,no,7,--,51,1,1,179,failure,no
46,blue-collar,married,primary,no,91,H-,29,1,2,356,failure,no
38,blue-collar,married,primary,no,689,H-,585,2,2,296,failure,no
41,admin.,married,primary,no,0,H-,184,2,1,323,failure,no
33,blue-collar,married,primary,no,-457,HP,128,1,1,350,failure,no
50,admin.,divorced,secondary,yes,2405,H-,114,1,8,287,failure,no
30,blue-collar,married,secondary,no,5903,H-,231,1,1,363,failure,no
36,management,single,tertiary,no,7506,H-,839,2,1,188,success,yes
38,technician,single,secondary,no,1255,H-,120,1,4,170,failure,no
47,admin.,married,primary,no,31,H-,50,1,1,356,failure,no
34,technician,single,secondary,no,827,H-,254,1,4,267,failure,no
35,blue-collar,married,secondary,no,80,HP,317,1,1,363,failure,no
37,management,single,tertiary,no,102,H-,445,1,2,258,failure,yes
27,technician,single,secondary,no,2,HP,554,2,1,356,failure,yes
53,management,divorced,secondary,no,28,H-,135,2,1,289,failure,no
45,unemployed,divorced,secondary,no,728,HP,156,2,1,169,failure,no
32,admin.,married,secondary,no,752,H-,519,2,5,166,failure,yes
29,technician,single,tertiary,no,183,HP,64,1,2,343,failure,no
30,technician,single,tertiary,no,3,H-,45,2,2,169,failure,no
47,blue-collar,married,secondary,no,-216,H-,197,1,3,282,failure,no
49,management,married,secondary,no,99,H-,687,2,1,343,failure,yes
34,services,divorced,secondary,no,991,H-,89,1,1,344,failure,no
38,technician,married,secondary,no,1016,HP,74,2,4,167,failure,no
29,technician,single,tertiary,no,-803,HP,827,1,9,329,failure,no
42,blue-collar,divorced,secondary,no,1491,H-,203,2,2,334,failure,no
35,management,single,tertiary,no,1494,H-,311,1,2,169,success,no
44,services,married,secondary,no,1872,H-,175,1,3,322,failure,no
34,entrepreneur,single,secondary,no,339,H-,110,2,2,359,failure,no
26,entrepreneur,married,tertiary,no,37,HP,207,1,2,363,failure,no
38,management,married,tertiary,no,4293,H-,92,2,2,250,failure,no
28,unemployed,single,tertiary,no,1010,H-,911,1,2,336,failure,no
36,management,married,tertiary,no,222,H-,317,1,2,169,failure,no
48,services,married,secondary,no,2597,H-,182,2,1,355,failure,no
32,technician,divorced,secondary,no,3345,H-,118,1,3,260,failure,no
38,housemaid,divorced,primary,no,0,HP,79,2,7,166,failure,no
52,blue-collar,married,primary,no,230,H-,198,2,2,170,failure,no
50,admin.,married,primary,no,458,H-,116,2,1,363,failure,no
49,services,married,primary,no,0,H-,445,2,3,166,failure,yes
42,technician,single,secondary,no,568,H-,311,2,2,341,failure,no
32,technician,married,secondary,no,-360,H-,131,2,2,344,failure,no
33,blue-collar,married,primary,no,289,H-,309,1,4,363,failure,no
47,self-employed,married,tertiary,no,2303,H-,323,2,1,364,failure,no
38,management,married,tertiary,no,-1884,H-,82,2,1,289,failure,no
35,blue-collar,divorced,primary,no,4401,H-,316,2,4,279,failure,no
35,management,married,tertiary,no,272,H-,251,4,2,289,failure,no
37,management,married,tertiary,no,0,H-,84,2,3,169,failure,no
37,services,married,primary,yes,-483,HP,222,2,3,168,failure,no
36,services,married,tertiary,no,260,H-,167,3,2,299,failure,no
54,admin.,married,secondary,no,614,H-,322,2,2,343,failure,no
35,management,single,tertiary,no,2576,HP,136,3,4,273,failure,no
37,admin.,married,tertiary,no,828,H-,206,2,1,342,failure,no
36,technician,single,secondary,no,634,H-,281,2,2,250,failure,no
27,student,single,secondary,no,3096,H-,62,4,1,357,failure,no
35,entrepreneur,married,tertiary,no,355,H-,183,2,1,355,failure,no
30,blue-collar,married,secondary,no,313,HP,311,3,1,364,failure,no
40,blue-collar,married,primary,no,34,H-,350,2,1,344,failure,no
32,admin.,divorced,tertiary,no,-2,H-,103,3,1,168,failure,no
33,management,married,secondary,no,3935,H-,765,1,2,342,failure,yes
52,management,divorced,tertiary,no,1988,H-,88,1,1,299,failure,no
29,blue-collar,married,unknown,no,486,H-,422,1,1,363,failure,no
37,technician,married,secondary,no,1345,H-,74,6,4,169,failure,no
28,blue-collar,married,tertiary,no,417,HP,523,2,2,363,failure,no
26,unemployed,married,secondary,no,285,H-,265,2,2,342,failure,no
37,technician,married,secondary,no,146,HP,82,2,2,356,failure,no
41,blue-collar,married,primary,no,13,H-,358,2,1,306,failure,no
46,blue-collar,married,primary,no,147,H-,116,2,3,169,failure,no
40,management,married,tertiary,no,429,H-,222,2,4,363,failure,no
34,technician,single,secondary,no,1259,H-,379,2,1,169,failure,no
48,entrepreneur,divorced,secondary,no,2,HP,593,2,4,281,failure,no
31,management,single,tertiary,no,59,HP,1347,2,1,363,failure,yes
40,services,single,secondary,no,326,H-,242,2,2,169,failure,no
51,management,divorced,tertiary,no,318,H-,102,2,2,355,failure,no
31,blue-collar,single,secondary,no,-457,H-,270,4,2,366,failure,no
38,management,single,tertiary,no,427,H-,17,3,2,169,failure,no
46,blue-collar,married,secondary,no,-1400,H-,309,3,4,355,failure,no
39,unemployed,married,primary,no,1147,HP,232,2,5,363,failure,no
29,blue-collar,married,secondary,no,100,HP,152,4,2,344,failure,no
38,technician,single,secondary,no,435,H-,437,4,1,345,failure,no
40,management,married,tertiary,no,1598,HP,1074,4,3,344,failure,yes
36,blue-collar,married,unknown,no,-400,HP,362,2,1,307,failure,no
34,technician,single,secondary,no,440,H-,445,2,2,345,failure,no
35,technician,single,tertiary,no,275,H-,157,3,5,254,failure,no
31,self-employed,single,secondary,no,148,HP,232,2,4,167,failure,no
22,blue-collar,married,secondary,no,223,H-,268,1,1,344,failure,no
37,admin.,single,secondary,no,22,H-,28,2,5,289,failure,no
48,management,married,secondary,no,3663,H-,25,5,1,169,failure,no
36,blue-collar,married,secondary,no,975,H-,186,2,1,295,failure,no
54,blue-collar,married,primary,no,-864,H-,755,3,5,363,failure,no
25,services,married,secondary,no,10,H-,51,1,1,294,failure,no
31,self-employed,single,tertiary,no,253,H-,157,1,4,349,failure,no
30,management,married,secondary,no,-559,HP,98,1,2,167,failure,no
33,admin.,single,tertiary,no,490,H-,31,1,2,363,failure,no
50,admin.,single,secondary,no,2040,H-,149,1,1,357,failure,no
36,blue-collar,married,secondary,no,89,H-,62,6,2,366,failure,no
28,blue-collar,single,secondary,yes,87,H-,27,1,1,345,failure,no
34,management,single,tertiary,no,171,H-,191,1,1,294,failure,no
56,admin.,single,secondary,no,1854,H-,45,1,2,342,failure,no
39,management,single,tertiary,no,968,H-,59,1,6,258,failure,no
31,management,single,tertiary,no,874,H-,98,1,2,170,failure,no
37,services,married,secondary,no,343,HP,104,1,7,304,failure,no
27,blue-collar,married,secondary,no,245,H-,121,1,2,344,failure,no
33,admin.,married,secondary,no,-370,H-,261,1,1,345,failure,yes
29,admin.,single,tertiary,no,422,H-,103,1,1,363,failure,no
35,technician,married,secondary,no,883,H-,333,1,1,351,failure,no
31,services,divorced,primary,no,459,H-,623,1,1,293,success,yes
34,blue-collar,divorced,secondary,no,-131,H-,132,1,1,356,failure,no
56,blue-collar,married,secondary,no,471,H-,104,1,2,342,failure,no
35,blue-collar,married,secondary,no,0,H-,19,1,2,360,failure,no
35,technician,divorced,secondary,no,44,HP,366,1,2,167,failure,no
54,management,divorced,secondary,no,300,H-,329,1,2,168,success,no
32,technician,single,tertiary,no,514,HP,138,1,1,168,failure,no
34,technician,single,secondary,no,49,--,393,1,1,351,failure,no
32,blue-collar,single,secondary,no,1291,H-,223,1,1,293,failure,no
42,blue-collar,married,primary,no,1461,H-,757,2,3,170,failure,yes
38,technician,single,tertiary,no,178,H-,184,1,1,351,failure,no
27,technician,single,secondary,no,-211,H-,146,1,3,349,failure,no
37,management,married,tertiary,no,900,H-,155,1,2,357,failure,no
32,technician,single,secondary,no,1210,HP,107,1,4,344,failure,no
45,management,married,tertiary,no,1033,H-,177,1,1,357,failure,no
28,services,single,secondary,no,6332,H-,149,1,4,343,failure,no
36,entrepreneur,married,tertiary,no,280,H-,252,1,1,351,failure,no
41,management,married,primary,no,733,H-,69,1,7,335,failure,no
41,services,single,primary,no,5907,H-,198,1,5,167,failure,no
36,admin.,single,secondary,no,0,HP,63,1,3,168,failure,no
36,management,single,tertiary,no,-679,HP,172,1,1,93,failure,no
45,entrepreneur,married,tertiary,no,3689,H-,397,1,5,169,failure,no
39,management,married,tertiary,no,3,H-,1145,1,1,170,failure,no
33,blue-collar,married,primary,no,494,H-,159,1,2,346,failure,no
30,admin.,married,secondary,no,187,H-,56,1,1,170,failure,no
39,blue-collar,married,secondary,no,0,H-,502,1,2,7,failure,no
36,management,single,tertiary,no,4,H-,855,2,1,342,failure,yes
35,services,single,secondary,no,544,H-,91,1,2,345,failure,no
44,blue-collar,divorced,primary,no,-57,H-,234,1,2,356,failure,no
32,blue-collar,married,secondary,no,428,H-,93,1,1,363,failure,no
30,services,single,secondary,no,-271,H-,609,1,1,337,success,yes
33,services,single,secondary,no,358,H-,302,1,3,356,failure,no
37,management,married,tertiary,no,502,H-,551,1,1,351,failure,no
23,technician,single,secondary,no,4659,H-,158,1,4,318,failure,no
41,blue-collar,married,primary,no,6596,H-,192,1,1,168,failure,no
58,retired,married,tertiary,no,138,--,143,1,5,346,failure,no
58,management,married,primary,no,1052,H-,147,1,4,359,failure,no
47,services,married,unknown,no,12839,H-,50,1,4,171,failure,no
45,technician,single,secondary,no,29,H-,86,1,1,367,failure,no
54,technician,married,secondary,no,6,H-,109,1,1,367,failure,no
44,technician,married,secondary,no,78,H-,122,1,1,357,failure,no
53,blue-collar,married,secondary,no,913,H-,213,1,1,288,failure,no
39,technician,married,secondary,no,-475,H-,168,3,1,301,failure,no
54,management,divorced,tertiary,no,0,H-,199,1,3,297,failure,no
57,management,married,tertiary,no,779,H-,282,1,1,367,failure,no
47,technician,divorced,tertiary,no,477,H-,973,1,1,366,failure,no
37,management,married,tertiary,no,64,--,219,1,1,295,failure,no
41,services,single,secondary,no,-278,H-,17,5,3,360,failure,no
30,technician,single,secondary,no,359,H-,362,1,1,303,failure,no
29,admin.,single,secondary,no,428,HP,54,1,2,345,failure,no
37,blue-collar,married,primary,no,223,H-,569,1,3,297,failure,no
58,services,married,secondary,no,2745,H-,161,1,2,324,failure,no
53,self-employed,married,secondary,no,1066,H-,57,2,4,170,failure,no
51,entrepreneur,married,secondary,no,0,H-,158,1,2,300,failure,no
48,technician,married,secondary,no,-938,H-,134,1,2,344,failure,no
32,management,single,tertiary,no,-307,HP,447,2,2,346,failure,no
34,technician,divorced,secondary,no,558,H-,130,2,5,167,failure,no
56,services,divorced,secondary,no,72,HP,263,1,4,357,failure,no
41,housemaid,married,primary,no,322,--,105,1,2,324,failure,no
42,blue-collar,married,secondary,no,2044,HP,155,1,5,282,failure,no
29,blue-collar,single,secondary,no,43,--,142,1,1,353,failure,no
50,blue-collar,married,secondary,no,16,H-,290,1,11,356,failure,no
46,management,married,secondary,no,21,H-,124,1,2,338,failure,no
27,student,single,tertiary,no,37,H-,125,1,1,364,failure,no
34,entrepreneur,married,secondary,no,393,H-,174,1,3,293,failure,no
43,blue-collar,single,primary,no,181,H-,174,1,2,343,failure,no
53,blue-collar,married,secondary,no,148,H-,66,1,1,359,failure,no
51,blue-collar,married,secondary,no,160,H-,136,1,1,359,failure,no
32,blue-collar,single,secondary,no,-219,H-,446,6,2,342,failure,no
30,entrepreneur,married,secondary,yes,-388,H-,263,1,3,293,failure,no
58,blue-collar,married,unknown,no,807,H-,57,1,2,366,failure,no
32,blue-collar,married,secondary,no,489,H-,103,2,4,349,failure,no
25,services,married,secondary,no,51,HP,159,2,2,357,failure,no
28,services,married,secondary,no,15,H-,182,2,1,356,failure,no
45,admin.,single,secondary,no,-101,H-,101,1,1,301,failure,no
34,management,married,tertiary,no,676,--,156,1,1,177,success,no
33,blue-collar,married,secondary,no,478,H-,349,1,1,338,failure,no
51,services,married,tertiary,no,218,H-,154,3,2,363,failure,no
31,technician,single,secondary,no,1626,--,356,2,3,286,failure,no
44,management,married,tertiary,no,430,--,97,2,2,171,failure,no
32,blue-collar,single,primary,no,216,H-,87,2,1,351,success,no
40,unemployed,divorced,secondary,no,193,H-,195,1,1,357,failure,no
28,blue-collar,single,primary,no,553,H-,225,3,3,321,failure,no
37,management,divorced,tertiary,yes,-1,HP,101,1,1,349,failure,no
25,blue-collar,single,primary,no,758,H-,258,1,1,357,failure,no
50,self-employed,single,secondary,no,766,H-,253,2,4,304,failure,no
29,technician,single,tertiary,no,0,H-,347,2,6,337,failure,yes
48,admin.,married,secondary,no,368,H-,430,2,2,367,failure,no
36,blue-collar,married,primary,no,441,H-,100,4,1,358,failure,no
43,management,married,tertiary,no,1429,H-,1030,1,3,169,success,yes
31,management,single,tertiary,no,0,H-,45,1,2,22,failure,no
36,management,single,tertiary,no,243,H-,160,2,3,360,failure,no
53,admin.,divorced,secondary,no,26,H-,56,1,1,359,failure,no
40,blue-collar,married,secondary,no,356,HP,1254,3,1,365,failure,no
31,admin.,single,secondary,no,0,H-,895,2,2,295,failure,yes
45,blue-collar,married,secondary,no,54,H-,279,1,1,367,failure,no
42,admin.,single,secondary,no,2790,H-,425,1,1,336,failure,no
35,blue-collar,single,secondary,no,142,H-,266,2,1,168,failure,no
46,blue-collar,married,secondary,no,4646,H-,33,3,1,359,failure,no
38,self-employed,divorced,tertiary,no,1513,--,330,1,1,342,failure,no
47,entrepreneur,single,tertiary,no,77,HP,308,1,3,335,failure,no
47,management,married,tertiary,no,618,H-,50,2,3,359,failure,no
58,management,married,tertiary,no,246,H-,245,2,2,288,failure,no
28,admin.,married,secondary,no,-393,HP,247,2,2,349,failure,no
38,management,married,unknown,no,546,H-,437,3,2,351,failure,no
43,unknown,married,secondary,no,703,H-,96,3,1,301,failure,no
26,services,single,secondary,no,5533,H-,582,2,4,283,failure,no
28,self-employed,single,tertiary,no,270,H-,49,2,2,345,failure,no
43,management,married,tertiary,no,0,H-,240,3,5,293,failure,no
33,technician,divorced,secondary,no,2,H-,600,2,17,330,failure,no
56,technician,married,secondary,no,264,HP,639,2,5,280,success,no
34,technician,single,secondary,no,105,H-,146,2,3,171,failure,no
51,management,married,tertiary,no,1854,HP,166,3,2,338,failure,no
53,blue-collar,married,primary,no,2144,H-,217,2,1,342,failure,no
56,entrepreneur,married,tertiary,no,16125,--,202,2,1,167,failure,no
39,blue-collar,married,secondary,no,660,HP,93,4,3,168,failure,no
31,blue-collar,married,secondary,no,1664,H-,603,2,2,17,failure,no
37,unemployed,single,secondary,no,490,HP,739,2,3,325,failure,no
41,technician,divorced,secondary,no,348,H-,225,2,2,275,failure,no
28,admin.,single,secondary,no,-181,HP,429,2,4,343,failure,no
42,unemployed,married,secondary,no,356,H-,787,3,2,356,failure,yes
37,blue-collar,married,secondary,no,740,H-,434,3,2,342,failure,no
32,entrepreneur,married,tertiary,no,0,H-,388,2,2,349,failure,no
40,admin.,married,secondary,no,168,H-,249,2,1,169,failure,no
38,entrepreneur,married,unknown,no,1134,H-,249,4,3,332,failure,no
37,management,married,tertiary,no,591,H-,181,2,5,255,failure,no
33,technician,married,secondary,no,348,H-,263,2,1,294,success,no
46,technician,divorced,secondary,no,-154,H-,215,2,1,294,failure,no
30,technician,single,tertiary,no,3086,H-,84,3,1,168,failure,no
33,technician,divorced,tertiary,no,2558,--,680,2,2,367,failure,no
35,blue-collar,married,secondary,no,848,H-,174,3,2,366,failure,no
29,self-employed,married,tertiary,no,0,H-,253,2,1,302,failure,no
45,services,divorced,secondary,no,608,HP,1135,3,30,323,failure,yes
48,management,married,tertiary,no,60,--,376,2,7,339,failure,no
32,admin.,single,secondary,no,626,H-,324,2,1,351,failure,no
30,management,married,tertiary,no,86,HP,255,6,3,169,failure,no
43,admin.,divorced,secondary,no,146,H-,274,3,2,358,failure,no
52,management,married,tertiary,no,0,HP,541,3,5,343,failure,no
50,blue-collar,married,secondary,no,26,H-,245,5,2,366,failure,no
45,blue-collar,divorced,secondary,no,-184,H-,878,3,5,170,failure,yes
49,management,married,tertiary,no,734,H-,42,2,3,324,failure,no
34,blue-collar,single,primary,no,279,H-,208,1,1,357,failure,no
49,blue-collar,married,primary,no,762,H-,373,2,4,360,failure,no
38,blue-collar,married,secondary,no,117,H-,54,1,1,337,failure,no
40,admin.,divorced,unknown,no,64,H-,873,1,1,293,failure,no
37,services,married,secondary,no,4760,H-,182,2,2,169,failure,no
40,admin.,divorced,secondary,no,-607,H-,328,2,2,353,failure,no
43,management,married,tertiary,no,9,H-,142,3,3,358,failure,no
39,admin.,single,secondary,no,2345,H-,491,2,2,344,failure,yes
50,management,married,tertiary,no,400,H-,41,1,1,360,failure,no
31,management,married,tertiary,no,-181,H-,127,1,2,170,failure,no
39,admin.,single,secondary,no,2749,H-,104,1,1,170,failure,no
31,self-employed,single,unknown,no,7118,H-,795,6,3,170,failure,no
34,unemployed,single,secondary,no,233,H-,11,8,4,365,failure,no
57,blue-collar,divorced,secondary,no,75,H-,159,1,2,361,failure,no
53,technician,married,tertiary,no,7,-P,57,1,1,368,failure,no
45,self-employed,married,secondary,no,264,H-,113,1,2,360,failure,no
40,self-employed,married,secondary,no,167,HP,380,4,1,295,failure,no
56,admin.,divorced,unknown,no,789,H-,1022,1,2,360,failure,no
56,technician,married,secondary,no,2313,H-,293,3,2,364,failure,no
34,technician,married,secondary,no,1234,H-,106,1,6,288,failure,no
38,blue-collar,single,primary,no,0,HP,84,1,1,290,failure,no
41,management,married,tertiary,no,-4,H-,72,1,1,368,failure,no
34,management,single,tertiary,no,5945,H-,285,1,1,170,failure,no
59,self-employed,married,tertiary,no,6237,H-,63,1,2,169,failure,no
40,admin.,divorced,secondary,no,2679,HP,122,1,1,350,failure,no
56,management,married,tertiary,no,73,H-,122,1,2,368,failure,no
31,unemployed,divorced,secondary,no,1144,H-,65,2,1,367,failure,no
46,management,married,tertiary,no,716,HP,557,1,1,172,failure,no
35,blue-collar,married,primary,no,0,H-,265,1,2,290,failure,no
57,technician,married,secondary,no,28,H-,163,1,1,358,failure,no
51,admin.,divorced,secondary,no,74,H-,74,2,2,287,failure,no
58,technician,married,secondary,no,950,H-,49,1,1,303,failure,no
54,entrepreneur,married,unknown,no,19,H-,103,1,1,368,failure,no
35,blue-collar,married,secondary,no,156,H-,302,1,3,283,failure,no
48,blue-collar,married,secondary,no,1794,HP,97,1,2,343,failure,no
48,management,divorced,tertiary,no,84,H-,14,5,5,364,failure,no
31,blue-collar,married,secondary,no,8,H-,98,2,1,170,failure,no
32,blue-collar,single,secondary,no,259,H-,158,3,1,354,failure,no
50,technician,married,secondary,no,20,H-,57,1,1,303,failure,no
44,technician,married,secondary,no,533,H-,153,4,3,171,failure,no
39,blue-collar,married,secondary,no,171,HP,153,1,1,353,failure,no
49,services,married,secondary,no,4300,HP,134,1,6,256,failure,no
57,admin.,married,secondary,no,6005,H-,704,1,6,323,failure,yes
