Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
47,335,417,1,1,76
60,4519,136,1,1,91
49,1,1076,3,1,175
33,1636,592,1,1,66
40,-388,195,3,1,340
28,1984,32,2,1,14
31,630,95,2,2,91
44,0,64,2,1,19
52,94,223,9,1,4
22,897,98,4,4,89
60,316,545,2,4,263
39,8876,106,1,2,91
57,738,490,3,1,168
32,1138,214,3,3,83
48,863,412,5,2,350
48,428,347,2,2,167
31,6495,383,2,3,35
29,451,54,1,1,96
26,4683,334,2,1,180
50,346,76,2,1,87
33,-208,306,3,1,360
41,72,130,3,3,312
36,188,1046,3,2,333
33,661,90,4,3,167
40,356,225,2,2,339
35,520,458,3,5,17
33,5151,124,3,5,165
31,0,108,2,1,167
30,2666,781,3,1,89
32,141,78,3,9,89
34,308,79,4,4,269
31,775,99,2,3,14
39,1515,815,6,6,167
24,99,65,3,3,89
36,115,134,3,1,91
34,1076,1121,3,10,88
39,2454,716,3,2,263
43,4056,13,6,2,89
29,369,174,5,3,346
31,12857,483,4,2,87
53,2152,520,2,3,80
34,315,76,4,3,89
39,11766,15,4,1,166
35,2971,429,4,2,164
31,690,10,4,12,87
32,2360,11,4,7,90
36,1227,775,5,3,341
25,4923,78,4,14,74
41,4047,14,5,1,75
47,668,230,6,2,354
33,17946,15,4,6,87
59,514,673,6,1,90
60,5041,8,7,1,181
28,61,226,2,1,319
35,62,214,4,3,15
55,233,813,2,3,351
30,1320,122,3,1,362
37,808,29,4,1,349
33,1373,17,5,2,349
35,-947,148,4,3,362
33,931,272,2,1,336
34,26575,245,6,1,168
47,-246,145,1,2,365
34,2,184,1,6,167
45,4758,632,5,6,287
28,0,334,1,6,355
45,640,214,1,1,1
27,-72,276,1,9,309
31,170,168,1,2,265
41,5766,243,1,3,169
30,0,57,1,1,301
36,80,234,1,4,165
40,710,266,1,2,298
30,80,145,1,4,337
33,0,301,1,1,365
53,431,55,1,1,328
32,12,242,1,2,365
55,2625,286,1,3,252
42,1272,117,1,1,169
35,188,863,1,8,78
52,576,139,1,1,286
43,130,156,1,3,337
35,1,80,1,1,285
35,147,358,1,3,337
30,0,381,1,7,342
26,784,247,2,2,358
25,1141,718,1,1,347
35,2311,659,1,1,167
30,182,143,1,1,364
37,0,108,1,2,349
41,121,456,1,1,287
38,54,236,1,2,287
33,210,84,1,1,167
31,187,241,1,1,347
38,2032,87,4,2,349
57,0,127,1,4,363
40,47,159,1,1,365
28,0,335,2,8,281
27,75,308,1,1,351
39,1372,206,1,1,355
31,196,568,1,7,341
42,3718,42,1,2,272
33,12686,470,2,2,166
47,232,166,2,1,285
33,255,237,4,4,165
40,0,184,1,2,334
32,98,360,1,2,365
41,992,335,1,3,295
32,75,104,3,9,256
44,0,398,2,4,165
37,686,253,3,2,280
37,3043,249,1,1,300
33,415,316,1,4,337
35,1239,60,2,1,347
53,0,246,1,1,344
43,-755,162,1,1,337
54,0,387,2,1,287
47,57,253,1,1,342
35,0,74,1,4,168
35,76,283,1,9,362
51,-463,496,1,3,343
47,769,183,1,2,265
43,0,150,2,2,342
35,27,442,2,3,278
55,-626,369,2,5,278
45,251,304,2,2,259
32,4761,159,2,2,350
30,6432,334,6,5,165
44,0,297,2,1,167
30,6,279,2,2,342
37,176,147,2,1,347
51,914,176,2,3,341
30,-522,670,2,6,286
36,103,122,2,2,344
39,519,180,3,15,166
52,221,178,2,3,363
51,565,157,7,3,250
37,8564,211,2,1,347
42,2152,319,2,1,169
43,305,674,2,4,250
27,3160,209,5,1,343
53,2618,185,2,2,165
45,0,469,2,1,342
43,176,253,2,1,286
31,4888,475,4,2,166
41,440,523,1,2,334
42,96,238,3,2,340
36,7503,193,1,1,335
44,0,408,2,1,350
37,0,74,8,11,351
56,505,221,1,3,169
35,225,160,7,2,343
41,-7,104,2,2,365
37,5436,7,11,1,351
49,8545,199,7,1,167
46,523,105,4,2,366
37,0,149,1,12,13
49,2039,451,1,2,169
52,12,78,1,1,170
60,6271,210,2,5,254
40,83,327,1,6,280
49,489,65,1,1,358
53,-488,207,1,1,342
27,710,653,1,2,334
40,1438,207,1,2,351
36,0,215,3,3,280
30,-1083,401,1,2,336
58,0,293,1,2,351
53,81,178,5,3,352
35,0,343,3,1,351
57,0,62,2,2,273
56,563,100,2,1,168
32,1143,132,1,1,300
36,788,403,1,1,345
37,141,848,1,3,364
35,105,36,1,3,365
43,388,644,1,2,355
40,-606,90,1,1,345
34,-349,208,1,1,365
30,-150,174,1,1,365
40,69,503,2,2,280
33,281,257,1,1,365
27,345,465,1,4,289
24,27,404,1,2,338
32,53,153,1,2,169
28,123,115,1,3,359
24,299,209,1,1,321
35,302,137,1,1,364
53,380,42,1,1,302
49,0,305,1,2,281
26,96,606,1,1,345
30,415,984,1,4,343
29,2,339,1,1,362
40,311,205,1,2,351
30,392,124,1,3,167
44,860,96,2,5,295
32,6402,158,1,1,167
39,0,49,2,3,282
33,-18,244,1,3,359
53,54,123,1,1,169
34,4902,59,1,1,167
37,83,68,1,1,363
28,60,161,1,1,337
23,83,199,1,1,358
38,171,60,1,3,272
47,1481,64,2,3,364
55,1086,146,1,2,272
33,2468,84,1,4,282
37,90,39,1,2,363
31,1016,20,1,1,342
51,106,217,1,5,169
34,0,611,1,1,183
29,751,211,1,5,288
42,-679,159,1,2,343
31,13,318,1,1,166
29,7,51,1,1,179
46,91,29,1,2,356
38,689,585,2,2,296
41,0,184,2,1,323
33,-457,128,1,1,350
50,2405,114,1,8,287
30,5903,231,1,1,363
36,7506,839,2,1,188
38,1255,120,1,4,170
47,31,50,1,1,356
34,827,254,1,4,267
35,80,317,1,1,363
37,102,445,1,2,258
27,2,554,2,1,356
53,28,135,2,1,289
45,728,156,2,1,169
32,752,519,2,5,166
29,183,64,1,2,343
30,3,45,2,2,169
47,-216,197,1,3,282
49,99,687,2,1,343
34,991,89,1,1,344
38,1016,74,2,4,167
29,-803,827,1,9,329
42,1491,203,2,2,334
35,1494,311,1,2,169
44,1872,175,1,3,322
34,339,110,2,2,359
26,37,207,1,2,363
38,4293,92,2,2,250
28,1010,911,1,2,336
36,222,317,1,2,169
48,2597,182,2,1,355
32,3345,118,1,3,260
38,0,79,2,7,166
52,230,198,2,2,170
50,458,116,2,1,363
49,0,445,2,3,166
42,568,311,2,2,341
32,-360,131,2,2,344
33,289,309,1,4,363
47,2303,323,2,1,364
38,-1884,82,2,1,289
35,4401,316,2,4,279
35,272,251,4,2,289
37,0,84,2,3,169
37,-483,222,2,3,168
36,260,167,3,2,299
54,614,322,2,2,343
35,2576,136,3,4,273
37,828,206,2,1,342
36,634,281,2,2,250
27,3096,62,4,1,357
35,355,183,2,1,355
30,313,311,3,1,364
40,34,350,2,1,344
32,-2,103,3,1,168
33,3935,765,1,2,342
52,1988,88,1,1,299
29,486,422,1,1,363
37,1345,74,6,4,169
28,417,523,2,2,363
26,285,265,2,2,342
37,146,82,2,2,356
41,13,358,2,1,306
46,147,116,2,3,169
40,429,222,2,4,363
34,1259,379,2,1,169
48,2,593,2,4,281
31,59,1347,2,1,363
40,326,242,2,2,169
51,318,102,2,2,355
31,-457,270,4,2,366
38,427,17,3,2,169
46,-1400,309,3,4,355
39,1147,232,2,5,363
29,100,152,4,2,344
38,435,437,4,1,345
40,1598,1074,4,3,344
36,-400,362,2,1,307
34,440,445,2,2,345
35,275,157,3,5,254
31,148,232,2,4,167
22,223,268,1,1,344
37,22,28,2,5,289
48,3663,25,5,1,169
36,975,186,2,1,295
54,-864,755,3,5,363
25,10,51,1,1,294
31,253,157,1,4,349
30,-559,98,1,2,167
33,490,31,1,2,363
50,2040,149,1,1,357
36,89,62,6,2,366
28,87,27,1,1,345
34,171,191,1,1,294
56,1854,45,1,2,342
39,968,59,1,6,258
31,874,98,1,2,170
37,343,104,1,7,304
27,245,121,1,2,344
33,-370,261,1,1,345
29,422,103,1,1,363
35,883,333,1,1,351
31,459,623,1,1,293
34,-131,132,1,1,356
56,471,104,1,2,342
35,0,19,1,2,360
35,44,366,1,2,167
54,300,329,1,2,168
32,514,138,1,1,168
34,49,393,1,1,351
32,1291,223,1,1,293
42,1461,757,2,3,170
38,178,184,1,1,351
27,-211,146,1,3,349
37,900,155,1,2,357
32,1210,107,1,4,344
45,1033,177,1,1,357
28,6332,149,1,4,343
36,280,252,1,1,351
41,733,69,1,7,335
41,5907,198,1,5,167
36,0,63,1,3,168
36,-679,172,1,1,93
45,3689,397,1,5,169
39,3,1145,1,1,170
33,494,159,1,2,346
30,187,56,1,1,170
39,0,502,1,2,7
36,4,855,2,1,342
35,544,91,1,2,345
44,-57,234,1,2,356
32,428,93,1,1,363
30,-271,609,1,1,337
33,358,302,1,3,356
37,502,551,1,1,351
23,4659,158,1,4,318
41,6596,192,1,1,168
58,138,143,1,5,346
58,1052,147,1,4,359
47,12839,50,1,4,171
45,29,86,1,1,367
54,6,109,1,1,367
44,78,122,1,1,357
53,913,213,1,1,288
39,-475,168,3,1,301
54,0,199,1,3,297
57,779,282,1,1,367
47,477,973,1,1,366
37,64,219,1,1,295
41,-278,17,5,3,360
30,359,362,1,1,303
29,428,54,1,2,345
37,223,569,1,3,297
58,2745,161,1,2,324
53,1066,57,2,4,170
51,0,158,1,2,300
48,-938,134,1,2,344
32,-307,447,2,2,346
34,558,130,2,5,167
56,72,263,1,4,357
41,322,105,1,2,324
42,2044,155,1,5,282
29,43,142,1,1,353
50,16,290,1,11,356
46,21,124,1,2,338
27,37,125,1,1,364
34,393,174,1,3,293
43,181,174,1,2,343
53,148,66,1,1,359
51,160,136,1,1,359
32,-219,446,6,2,342
30,-388,263,1,3,293
58,807,57,1,2,366
32,489,103,2,4,349
25,51,159,2,2,357
28,15,182,2,1,356
45,-101,101,1,1,301
34,676,156,1,1,177
33,478,349,1,1,338
51,218,154,3,2,363
31,1626,356,2,3,286
44,430,97,2,2,171
32,216,87,2,1,351
40,193,195,1,1,357
28,553,225,3,3,321
37,-1,101,1,1,349
25,758,258,1,1,357
50,766,253,2,4,304
29,0,347,2,6,337
48,368,430,2,2,367
36,441,100,4,1,358
43,1429,1030,1,3,169
31,0,45,1,2,22
36,243,160,2,3,360
53,26,56,1,1,359
40,356,1254,3,1,365
31,0,895,2,2,295
45,54,279,1,1,367
42,2790,425,1,1,336
35,142,266,2,1,168
46,4646,33,3,1,359
38,1513,330,1,1,342
47,77,308,1,3,335
47,618,50,2,3,359
58,246,245,2,2,288
28,-393,247,2,2,349
38,546,437,3,2,351
43,703,96,3,1,301
26,5533,582,2,4,283
28,270,49,2,2,345
43,0,240,3,5,293
33,2,600,2,17,330
56,264,639,2,5,280
34,105,146,2,3,171
51,1854,166,3,2,338
53,2144,217,2,1,342
56,16125,202,2,1,167
39,660,93,4,3,168
31,1664,603,2,2,17
37,490,739,2,3,325
41,348,225,2,2,275
28,-181,429,2,4,343
42,356,787,3,2,356
37,740,434,3,2,342
32,0,388,2,2,349
40,168,249,2,1,169
38,1134,249,4,3,332
37,591,181,2,5,255
33,348,263,2,1,294
46,-154,215,2,1,294
30,3086,84,3,1,168
33,2558,680,2,2,367
35,848,174,3,2,366
29,0,253,2,1,302
45,608,1135,3,30,323
48,60,376,2,7,339
32,626,324,2,1,351
30,86,255,6,3,169
43,146,274,3,2,358
52,0,541,3,5,343
50,26,245,5,2,366
45,-184,878,3,5,170
49,734,42,2,3,324
34,279,208,1,1,357
49,762,373,2,4,360
38,117,54,1,1,337
40,64,873,1,1,293
37,4760,182,2,2,169
40,-607,328,2,2,353
43,9,142,3,3,358
39,2345,491,2,2,344
50,400,41,1,1,360
31,-181,127,1,2,170
39,2749,104,1,1,170
31,7118,795,6,3,170
34,233,11,8,4,365
57,75,159,1,2,361
53,7,57,1,1,368
45,264,113,1,2,360
40,167,380,4,1,295
56,789,1022,1,2,360
56,2313,293,3,2,364
34,1234,106,1,6,288
38,0,84,1,1,290
41,-4,72,1,1,368
34,5945,285,1,1,170
59,6237,63,1,2,169
40,2679,122,1,1,350
56,73,122,1,2,368
31,1144,65,2,1,367
46,716,557,1,1,172
35,0,265,1,2,290
57,28,163,1,1,358
51,74,74,2,2,287
58,950,49,1,1,303
54,19,103,1,1,368
35,156,302,1,3,283
48,1794,97,1,2,343
48,84,14,5,5,364
31,8,98,2,1,170
32,259,158,3,1,354
50,20,57,1,1,303
44,533,153,4,3,171
39,171,153,1,1,353
49,4300,134,1,6,256
57,6005,704,1,6,323
23,0,6,5,2,350
32,1918,318,1,1,172
53,0,86,1,3,298
40,408,80,1,4,322
38,859,52,1,4,302
36,0,346,1,1,368
47,265,144,2,1,368
51,-35,498,1,5,263
44,227,364,1,2,262
31,1090,50,1,1,303
51,203,134,1,5,170
45,972,343,1,3,282
41,0,239,1,2,368
50,-287,92,1,1,347
42,0,88,1,1,360
33,1925,87,2,2,67
38,238,86,1,2,366
36,0,91,2,2,170
44,-204,105,1,2,347
44,1343,414,2,2,287
46,-100,445,2,1,303
37,403,318,2,1,338
40,109,308,1,3,367
35,70,197,1,4,350
42,4,579,2,1,295
41,0,171,1,1,368
47,759,75,1,2,323
37,638,326,1,2,326
45,0,166,1,1,340
42,3279,261,1,1,344
37,88,66,1,2,308
43,0,9,2,5,172
52,26,191,2,1,368
57,830,662,1,1,367
34,268,248,1,9,343
46,245,78,1,3,359
42,258,18,1,1,366
32,0,82,2,4,361
40,287,69,1,3,298
56,935,209,2,1,172
36,0,171,1,3,172
36,1531,81,3,1,170
40,-222,291,1,1,337
40,280,435,2,3,340
40,-516,272,1,2,364
36,535,121,1,3,343
45,-299,154,2,1,350
39,1685,319,1,1,368
49,-202,608,2,5,170
46,-637,218,1,1,172
52,337,247,1,4,261
48,0,85,1,2,168
34,0,325,1,2,170
37,1314,682,2,7,85
46,740,462,1,2,359
32,2696,238,6,3,169
28,430,158,2,2,350
44,293,345,2,1,358
34,1866,134,3,1,185
41,75,103,2,1,344
37,4543,137,1,5,340
31,25,85,2,2,368
31,1,36,5,9,336
44,438,37,3,1,303
38,566,44,2,2,275
57,13,323,2,2,368
31,-209,154,3,2,367
55,481,147,2,3,298
48,257,186,4,11,358
53,4493,286,2,3,168
36,515,104,4,3,252
39,-762,40,6,2,343
50,-470,506,2,3,170
56,39,191,2,5,347
31,49,187,3,2,360
41,2576,296,5,11,361
52,863,224,2,3,170
45,2237,128,3,2,322
40,498,55,2,4,298
47,1374,479,2,3,359
43,490,216,2,2,368
36,23,152,2,1,347
35,387,1024,3,3,347
30,23,129,2,4,359
42,-556,682,3,3,347
39,0,283,3,5,296
36,0,108,2,2,367
32,95,265,4,2,337
34,471,146,3,2,340
52,824,466,1,2,354
36,153,263,1,2,171
38,395,83,1,2,367
44,140,324,2,2,268
39,324,340,2,4,312
41,211,546,3,4,368
44,177,364,1,3,365
42,3018,288,3,2,172
29,572,72,6,1,181
34,140,81,2,1,365
42,714,211,1,5,358
42,256,322,1,1,323
46,1807,62,3,2,339
36,432,61,3,2,255
55,1402,125,2,1,175
43,704,28,2,1,306
57,-34,108,6,2,371
60,-396,443,1,1,350
44,738,55,1,8,171
45,0,64,1,7,362
54,943,194,1,2,340
38,741,363,1,2,343
40,6767,431,1,2,172
47,-59,502,1,2,343
35,356,7,5,12,171
36,483,179,1,2,304
50,284,106,1,3,278
44,985,9,7,19,325
43,221,313,1,2,369
35,4515,66,3,2,173
37,0,108,2,1,306
38,0,580,1,1,173
39,243,128,3,1,371
35,434,277,1,2,271
45,1265,40,8,1,299
41,-109,1038,1,1,370
54,7249,346,1,3,96
41,236,65,1,2,356
29,228,12,8,9,342
49,-212,469,1,1,350
29,477,58,1,1,305
36,866,629,1,1,173
35,873,197,1,2,277
30,948,150,1,2,370
43,580,1514,1,2,284
46,101,422,1,5,364
32,367,214,2,3,276
40,4904,248,1,1,356
39,3047,279,1,2,370
36,-461,254,2,1,353
42,4900,231,1,2,284
33,4789,220,1,4,339
42,-396,80,1,4,308
45,839,340,1,4,264
37,295,202,3,2,265
44,-8,472,1,2,356
51,726,409,1,8,14
41,-312,90,1,1,348
41,419,442,1,3,370
43,-291,277,1,2,301
55,59,51,1,1,305
30,2597,49,1,3,349
39,283,369,2,1,350
31,0,163,1,1,370
43,518,295,1,1,370
47,71,170,1,1,370
54,1252,101,1,1,350
40,-17,474,1,1,256
40,98,240,2,5,343
49,24,701,1,1,362
33,358,231,1,1,350
23,2412,239,5,2,367
35,2048,219,1,2,173
56,150,102,6,1,349
34,-10,216,1,1,370
55,13,190,1,2,300
43,898,405,1,3,174
41,88,105,1,2,336
49,100,143,2,1,347
32,314,18,6,10,172
55,2059,149,1,4,259
37,321,222,2,2,300
38,3049,225,1,1,347
44,0,151,2,2,370
58,3058,114,1,1,368
40,3,154,1,9,305
51,602,347,1,2,284
51,-55,281,2,6,266
39,1403,214,8,2,326
38,493,553,1,7,367
41,306,86,1,2,369
43,-416,114,1,3,301
39,322,35,1,1,350
42,1449,177,1,1,173
32,1145,580,1,4,350
41,1395,85,1,2,308
36,0,187,1,1,174
37,293,304,1,4,349
34,0,66,1,3,301
44,0,78,2,3,264
35,245,134,2,1,370
45,503,313,1,2,369
37,20,207,1,1,370
32,-23,185,1,1,305
37,223,552,2,2,301
33,2366,249,1,2,356
57,5486,86,7,3,285
50,326,124,1,2,369
37,-17,400,2,2,340
37,771,262,2,4,367
27,100,177,4,1,367
52,-178,124,2,1,347
31,2153,239,3,1,172
58,3867,159,1,2,364
58,1301,261,1,2,286
52,540,154,2,2,340
35,-315,330,2,2,368
38,-120,148,1,2,367
43,426,76,2,2,304
38,5293,475,1,6,171
33,142,41,2,5,300
50,199,228,2,2,363
39,381,758,1,2,347
35,0,371,1,1,305
44,254,145,2,3,300
35,-367,77,1,1,350
56,102,267,1,1,369
44,1071,143,3,1,357
37,246,288,1,2,360
33,-331,186,2,3,350
47,1571,261,1,2,369
40,695,270,1,10,348
34,213,47,1,2,343
39,1005,204,1,2,336
48,7985,232,2,1,347
36,0,97,2,1,305
57,124,296,1,12,287
25,931,263,2,4,348
34,395,150,2,8,364
38,0,125,2,2,304
42,-204,34,1,7,361
44,370,128,1,1,369
33,48,400,1,5,173
37,1653,285,2,10,349
57,99,133,2,2,370
39,27,147,3,4,342
34,-333,218,4,5,285
35,313,195,2,3,301
48,222,127,2,1,369
35,244,155,2,1,173
55,154,70,2,3,367
31,1598,152,2,1,305
36,219,270,2,1,347
59,0,437,2,5,361
46,875,269,3,2,353
53,238,238,2,5,361
48,-470,410,2,11,292
35,6,204,2,2,348
49,-18,217,3,4,264
50,388,258,4,2,329
44,-497,115,2,2,370
46,2603,50,3,2,277
45,744,211,2,1,347
51,-1137,567,3,1,325
44,953,772,2,1,357
55,-361,82,2,1,350
37,1165,304,3,7,173
35,151,301,2,6,298
40,4136,508,3,5,173
41,2067,208,4,4,325
50,0,503,3,2,339
34,10,196,2,1,356
56,141,63,2,2,370
43,0,48,3,4,285
36,-185,167,2,2,350
36,109,200,2,2,370
42,218,134,2,1,361
43,277,315,2,1,363
59,146,97,3,6,365
33,310,54,2,1,371
54,0,77,4,2,341
34,0,34,2,12,288
41,-648,104,3,2,172
41,4063,14,5,2,172
58,502,197,2,3,370
41,1734,151,2,4,343
50,8648,731,3,1,176
54,87,20,8,9,350
43,591,123,4,2,277
34,165,99,1,1,370
35,-465,158,1,1,351
34,479,515,1,5,350
40,780,206,1,1,357
41,254,25,1,3,309
55,99,300,1,3,370
32,169,85,4,1,350
37,1655,178,1,2,175
32,146,69,1,1,361
37,1109,62,1,5,354
38,199,1203,1,1,306
55,2102,64,4,1,371
37,0,631,1,1,344
39,25,658,1,3,351
46,278,207,1,1,306
34,7,377,1,1,357
38,1533,366,1,4,172
30,112,451,2,2,349
53,545,305,1,1,370
47,216,104,3,2,371
54,349,176,2,1,175
43,1076,223,1,1,363
33,1034,23,6,6,295
41,598,69,3,11,364
36,687,43,1,2,347
43,323,43,3,2,369
60,-134,243,1,4,271
29,135,245,1,1,356
40,1194,517,1,2,173
41,1535,261,1,1,363
38,1616,168,5,3,288
40,106,23,1,1,370
30,265,342,1,2,354
43,188,58,3,5,347
43,24,68,1,1,363
39,476,212,1,4,349
37,1573,639,3,10,326
43,-404,205,2,1,306
47,311,238,1,3,301
53,218,27,6,12,344
49,666,337,1,6,309
41,277,152,3,2,351
32,522,272,5,4,258
44,103,79,1,2,329
30,-158,426,1,2,370
34,-53,196,2,1,357
46,66,211,1,3,364
49,425,816,1,4,342
42,-411,78,5,3,292
45,0,36,3,5,172
55,859,148,6,1,308
36,339,279,1,1,354
52,3029,65,2,2,285
48,162,83,1,4,368
51,480,189,1,5,326
28,242,256,1,1,349
37,1543,451,4,2,85
27,498,191,1,3,369
37,342,340,2,1,175
39,5073,1182,1,4,286
36,69,61,2,3,369
51,42,51,2,3,342
39,607,454,2,3,364
32,1787,87,4,4,357
33,2858,175,1,5,298
45,353,204,1,1,364
37,-251,146,3,1,370
37,3420,77,1,2,301
36,5,396,1,3,172
32,0,549,1,2,368
37,42,107,3,4,369
39,0,561,4,3,369
47,367,309,1,4,306
42,0,139,3,4,361
59,92,139,2,1,350
35,855,549,1,1,300
26,38,119,1,5,294
40,1547,88,2,1,173
36,300,57,1,1,342
34,210,211,2,1,173
29,13186,322,1,2,350
35,10,357,1,4,175
33,-417,337,1,5,347
51,1164,100,1,2,369
29,-70,146,1,1,356
35,68,334,1,6,347
30,0,271,1,4,349
35,0,95,4,1,357
40,0,223,4,3,258
40,419,92,1,1,369
56,373,179,1,1,350
44,887,165,2,1,363
41,3652,127,1,2,363
37,-38,165,1,2,175
37,335,107,2,2,368
31,2581,240,1,2,365
46,804,1063,2,1,361
52,-637,161,5,2,174
41,139,178,3,1,370
49,1598,76,2,1,348
33,-634,163,2,1,350
44,870,118,2,1,369
59,1575,301,3,11,263
46,4170,118,2,3,357
54,143,278,2,5,309
50,5816,217,1,2,175
47,1044,208,6,1,371
36,98,415,1,1,344
33,-15,326,3,2,350
50,15,173,2,7,350
40,-50,306,2,1,350
40,1116,350,5,2,286
40,1411,224,2,2,357
40,327,474,2,1,357
40,9110,234,6,3,174
49,5058,255,2,4,357
30,190,29,2,1,370
43,422,181,2,1,300
43,-25,254,4,2,365
25,1116,85,2,3,71
33,204,142,2,3,357
41,5560,280,2,3,335
31,-199,149,5,10,299
49,108,288,2,2,350
59,145,556,2,13,287
31,2592,349,2,1,174
45,677,253,3,2,334
46,984,181,4,5,369
55,167,178,3,7,357
39,5092,206,2,6,329
58,1153,206,6,6,337
52,752,339,4,2,347
43,555,175,2,2,369
38,5733,173,8,4,278
48,201,242,3,2,371
60,-247,472,2,1,351
46,1583,175,5,7,278
37,807,807,3,4,172
33,422,235,2,2,361
43,250,144,5,16,342
38,12130,455,2,13,328
40,949,285,3,8,287
38,1455,101,2,2,356
34,1309,456,2,1,364
40,332,339,2,3,369
32,933,147,4,1,307
40,1397,58,2,1,334
46,404,1388,7,2,347
42,402,31,7,17,330
35,399,496,2,3,345
28,-302,152,4,3,366
42,2835,61,4,1,350
46,1410,91,5,9,175
57,13,164,2,2,366
39,800,53,5,6,175
29,154,20,6,9,358
38,876,5,7,4,355
31,253,82,5,4,355
36,1088,77,2,2,345
42,-141,211,3,3,345
43,3,26,1,2,174
34,7263,38,1,1,37
57,-663,210,1,2,351
33,20,259,1,3,370
40,406,130,1,1,371
55,918,87,3,1,364
36,319,774,2,1,301
33,17,74,1,1,351
40,82,135,6,5,370
32,7444,22,1,1,370
46,512,32,1,1,301
34,412,217,1,2,287
51,516,370,1,1,363
30,115,152,1,1,351
32,481,150,3,4,174
38,864,364,1,1,348
28,431,68,2,2,363
38,61,109,1,8,359
33,312,23,1,3,359
31,397,134,1,7,350
42,-581,224,1,2,370
32,413,67,1,1,365
37,393,95,1,1,357
37,719,118,1,1,365
28,-2,172,2,5,364
50,2809,200,2,9,259
36,2151,134,1,1,370
51,40,79,1,1,370
50,100,157,1,3,299
23,14,19,8,1,358
33,1905,39,1,2,301
39,807,69,1,6,260
58,6004,133,1,6,274
35,1831,96,2,2,358
55,2171,318,5,1,176
35,233,66,1,1,176
31,131,294,1,1,370
55,-636,15,5,3,348
33,221,669,1,4,355
33,219,93,1,1,301
30,975,256,2,2,351
42,2157,149,1,2,364
50,0,131,1,2,364
38,3715,41,2,17,327
32,50,275,1,2,370
28,451,302,1,1,301
41,340,262,1,1,349
36,828,1512,1,8,345
45,58,119,3,3,371
32,2137,423,1,1,349
50,953,315,1,2,364
32,1503,44,1,2,278
43,497,66,1,22,363
33,350,205,1,2,350
34,2764,158,1,1,357
52,7180,276,1,1,364
50,246,234,2,5,299
39,3419,155,1,5,327
27,0,363,1,3,359
42,1080,951,3,4,370
50,7317,172,1,1,370
27,268,528,1,2,358
38,18,296,1,6,366
35,247,114,1,5,352
35,34,249,2,3,365
52,33,204,1,3,331
36,413,60,1,1,176
42,759,80,1,10,343
37,596,281,1,2,345
29,0,155,1,1,351
28,584,354,1,2,370
32,1779,191,1,2,342
35,577,55,1,1,364
31,387,228,2,1,370
32,309,185,1,3,370
44,186,152,1,1,370
44,1311,184,1,1,364
35,455,573,7,3,327
31,623,96,2,5,349
37,1852,117,2,1,370
44,25,201,1,7,344
43,171,96,1,1,364
25,1954,66,1,1,351
53,8892,177,1,1,174
34,76,747,2,3,371
47,-49,14,6,23,327
36,52,152,1,1,348
50,216,137,1,2,369
51,3185,154,1,2,174
28,65,165,1,1,300
47,-287,201,1,3,348
32,28,88,1,1,370
36,55,38,2,4,369
31,1127,43,1,1,349
59,771,125,2,3,370
36,481,215,1,3,175
32,416,290,1,2,176
38,3344,143,1,5,352
40,-378,541,1,6,295
34,7063,309,1,9,350
37,0,54,1,1,300
30,341,54,1,1,174
41,158,426,1,2,50
44,338,133,1,1,370
33,162,135,1,2,364
30,396,366,3,2,348
32,1670,223,1,2,299
37,1040,199,1,2,173
47,-169,234,1,3,349
43,484,180,2,6,173
34,0,68,4,3,357
59,-91,239,1,5,369
37,513,134,1,3,362
32,1804,122,1,1,355
37,0,109,1,1,344
37,198,156,5,2,369
30,236,44,1,1,364
40,282,240,1,1,300
44,-228,38,1,2,362
27,79,201,1,3,369
51,-13,361,1,1,364
35,1396,809,1,1,300
38,780,262,1,5,343
35,1546,156,1,4,174
39,4741,166,1,10,338
51,-19,829,1,11,296
35,0,291,8,1,293
43,47,163,2,1,370
36,181,159,2,4,278
55,1691,358,2,1,174
34,467,195,2,2,357
44,388,246,2,2,370
40,125,119,2,1,370
33,5550,124,2,4,278
47,846,85,2,2,370
37,72,98,2,1,370
40,528,340,2,5,357
37,426,323,3,3,345
53,-1112,53,3,1,308
33,410,396,2,2,355
41,471,954,2,4,293
38,0,537,5,2,303
57,408,402,2,1,351
39,9618,94,2,1,338
44,33,195,3,10,351
37,-308,168,4,11,310
45,577,154,2,3,350
37,1328,121,2,4,341
42,-336,318,3,2,303
35,712,255,2,5,264
39,93,196,2,3,331
60,0,65,4,6,350
47,6150,444,2,2,174
46,5461,562,2,2,174
50,-54,698,2,1,292
49,2409,272,4,2,293
58,4152,76,7,6,13
57,25,378,2,1,359
46,1103,185,2,3,278
42,47,222,2,1,370
56,84,65,2,1,370
35,9,84,2,2,364
45,809,155,2,4,363
51,107,99,2,4,369
34,39,254,2,3,299
51,1203,25,4,7,350
40,104,277,2,2,343
37,68,151,2,1,351
39,0,513,3,2,176
42,108,225,2,7,365
32,335,240,3,1,370
35,298,135,2,2,370
40,830,873,3,2,370
31,1510,72,4,1,176
38,1354,364,2,4,343
49,4976,36,9,1,173
35,-255,196,3,2,265
32,-446,126,2,1,344
42,83,300,5,6,358
35,78,630,3,3,371
47,897,48,4,2,176
28,5,178,2,3,360
26,130,24,7,1,302
